TeamID,TeamName,FirstD1Season,LastD1Season
1212,Grambling,1985,2026
1213,Grand Canyon,2014,2026
1214,Hampton,1996,2026
1215,Hardin-Simmons,1985,1990
1216,Hartford,1985,2023
1217,Harvard,1985,2026
1218,Hawaii,1985,2026
1219,High Point,2000,2026
1220,Hofstra,1985,2026
1221,Holy Cross,1985,2026
1222,Houston,1985,2026
1223,Houston Chr,1985,2026
1224,Howard,1985,2026
1225,Idaho,1985,2026
1226,Idaho St,1985,2026
1227,IL Chicago,1985,2026
1228,Illinois,1985,2026
1229,Illinois St,1985,2026
1230,Incarnate Word,2014,2026
1231,Indiana,1985,2026
1232,Indiana St,1985,2026
1233,Iona,1985,2026
1234,Iowa,1985,2026
1235,Iowa St,1985,2026
1236,PFW,2003,2026
1237,IUPUI,1999,2026
1238,Jackson St,1985,2026
1239,Jacksonville,1985,2026
1240,Jacksonville St,1996,2026
1241,James Madison,1985,2026
1242,Kansas,1985,2026
1243,Kansas St,1985,2026
1244,Kennesaw,2006,2026
1245,Kent,1985,2026
1246,Kentucky,1985,2026
1247,La Salle,1985,2026
1248,Lafayette,1985,2026
1249,Lamar,1985,2026
1250,Lehigh,1985,2026
1251,Liberty,1989,2026
1252,Lipscomb,2003,2026
1253,Long Beach St,1985,2026
1254,LIU Brooklyn,1985,2026
1255,Longwood,2005,2026
1256,Louisiana Tech,1985,2026
1257,Louisville,1985,2026
1258,Loy Marymount,1985,2026
1259,Loyola MD,1985,2026
1260,Loyola-Chicago,1985,2026
1261,LSU,1985,2026
1262,MA Lowell,2014,2026
1263,Maine,1985,2026
1264,Manhattan,1985,2026
1265,Marist,1985,2026
1266,Marquette,1985,2026
1267,Marshall,1985,2026
1268,Maryland,1985,2026
1269,Massachusetts,1985,2026
1270,McNeese St,1985,2026
1271,MD E Shore,1985,2026
1272,Memphis,1985,2026
1273,Mercer,1985,2026
1274,Miami FL,1986,2026
1275,Miami OH,1985,2026
1276,Michigan,1985,2026
1277,Michigan St,1985,2026
1278,Minnesota,1985,2026
1279,Mississippi,1985,2026
1280,Mississippi St,1985,2026
1281,Missouri,1985,2026
1282,Missouri KC,1990,2026
1283,Missouri St,1985,2026
1284,Monmouth NJ,1985,2026
1285,Montana,1985,2026
1286,Montana St,1985,2026
1287,Morehead St,1985,2026
1288,Morgan St,1985,2026
1289,Morris Brown,2002,2003
1290,MS Valley St,1985,2026
1291,Mt St Mary's,1989,2026
1292,MTSU,1985,2026
1293,Murray St,1985,2026
1294,N Colorado,2005,2026
1295,N Dakota St,2006,2026
1296,N Illinois,1985,2026
1297,N Kentucky,2013,2026
1298,Navy,1985,2026
1299,NC A&T,1985,2026
1300,NC Central,2008,2026
1301,NC State,1985,2026
1302,NE Illinois,1991,1998
1303,NE Omaha,2012,2026
1304,Nebraska,1985,2026
1305,Nevada,1985,2026
1306,New Hampshire,1985,2026
1307,New Mexico,1985,2026
1308,New Mexico St,1985,2026
1309,New Orleans,1985,2026
1310,Niagara,1985,2026
1311,Nicholls St,1985,2026
1312,NJIT,2007,2026
1313,Norfolk St,1998,2026
1314,North Carolina,1985,2026
1315,North Dakota,2009,2026
1316,North Florida,2006,2026
1317,North Texas,1985,2026
1318,Northeastern,1985,2026
1319,Northern Arizona,1985,2026
1320,Northern Iowa,1985,2026
1321,Northwestern,1985,2026
1322,Northwestern LA,1985,2026
1323,Notre Dame,1985,2026
1324,Oakland,2000,2026
1325,Ohio,1985,2026
1326,Ohio St,1985,2026
1327,Okla City,1985,1985
1328,Oklahoma,1985,2026
1329,Oklahoma St,1985,2026
1330,Old Dominion,1985,2026
1331,Oral Roberts,1985,2026
1332,Oregon,1985,2026
1333,Oregon St,1985,2026
1334,Pacific,1985,2026
1335,Penn,1985,2026
1336,Penn St,1985,2026
1337,Pepperdine,1985,2026
1338,Pittsburgh,1985,2026
1339,Portland,1985,2026
1340,Portland St,1999,2026
1341,Prairie View,1985,2026
1342,Presbyterian,2008,2026
1343,Princeton,1985,2026
1344,Providence,1985,2026
1345,Purdue,1985,2026
1346,Quinnipiac,1999,2026
1347,Radford,1985,2026
1348,Rhode Island,1985,2026
1349,Rice,1985,2026
1350,Richmond,1985,2026
1351,Rider,1985,2026
1352,Robert Morris,1985,2026
1353,Rutgers,1985,2026
1354,S Carolina St,1985,2026
1355,S Dakota St,2006,2026
1356,S Illinois,1985,2026
1357,Sacred Heart,2000,2026
1358,Sam Houston St,1987,2026
1359,Samford,1985,2026
1360,San Diego,1985,2026
1361,San Diego St,1985,2026
1362,San Francisco,1986,2026
1363,San Jose St,1985,2026
1364,UC Santa Barbara,1985,2026
1365,Santa Clara,1985,2026
1366,Savannah St,2003,2019
1367,SC Upstate,2008,2026
1368,SE Louisiana,1985,2026
1369,SE Missouri St,1992,2026
1370,Seattle,2009,2026
1371,Seton Hall,1985,2026
1372,SF Austin,1987,2026
1373,Siena,1985,2026
1374,SMU,1985,2026
1375,South Alabama,1985,2026
1376,South Carolina,1985,2026
1377,South Dakota,2009,2026
1378,South Florida,1985,2026
1379,Southern Miss,1985,2026
1380,Southern Univ,1985,2026
1381,Southern Utah,1989,2026
1382,St Bonaventure,1985,2026
1383,St Francis NY,1985,2023
1384,St Francis PA,1985,2026
1385,St John's,1985,2026
1386,St Joseph's PA,1985,2026
1387,St Louis,1985,2026
1388,St Mary's CA,1985,2026
1389,St Peter's,1985,2026
1390,Stanford,1985,2026
1391,Stetson,1985,2026
1392,Stony Brook,2000,2026
1393,Syracuse,1985,2026
1394,TAM C. Christi,2003,2026
1395,TCU,1985,2026
1396,Temple,1985,2026
1397,Tennessee,1985,2026
1398,Tennessee St,1985,2026
1399,Tennessee Tech,1985,2026
1400,Texas,1985,2026
1401,Texas A&M,1985,2026
1402,Texas St,1985,2026
1403,Texas Tech,1985,2026
1404,TN Martin,1993,2026
1405,Toledo,1985,2026
1406,Towson,1985,2026
1407,Troy,1994,2026
1408,Tulane,1985,2026
1409,Tulsa,1985,2026
1410,UTRGV,1985,2026
1411,TX Southern,1985,2026
1412,UAB,1985,2026
1413,UC Davis,2005,2026
1414,UC Irvine,1985,2026
1415,UC Riverside,2002,2026
1416,UCF,1985,2026
1417,UCLA,1985,2026
1418,Louisiana,1985,2026
1419,ULM,1985,2026
1420,UMBC,1987,2026
1421,UNC Asheville,1987,2026
1422,UNC Greensboro,1992,2026
1423,UNC Wilmington,1985,2026
1424,UNLV,1985,2026
1425,USC,1985,2026
1426,UT Arlington,1985,2026
1427,UT San Antonio,1985,2026
1428,Utah,1985,2026
1429,Utah St,1985,2026
1430,Utah Valley,2005,2026
1431,UTEP,1985,2026
1432,Utica,1985,1987
1433,VCU,1985,2026
1434,Valparaiso,1985,2026
1435,Vanderbilt,1985,2026
1436,Vermont,1985,2026
1437,Villanova,1985,2026
1438,Virginia,1985,2026
1439,Virginia Tech,1985,2026
1440,VMI,1985,2026
1441,W Carolina,1985,2026
1442,W Illinois,1985,2026
1443,WKU,1985,2026
1444,W Michigan,1985,2026
1445,W Salem St,2007,2010
1446,W Texas A&M,1985,1986
1447,Wagner,1985,2026
1448,Wake Forest,1985,2026
1449,Washington,1985,2026
1450,Washington St,1985,2026
1451,Weber St,1985,2026
1452,West Virginia,1985,2026
1453,WI Green Bay,1985,2026
1454,WI Milwaukee,1991,2026
1455,Wichita St,1985,2026
1456,William & Mary,1985,2026
1457,Winthrop,1987,2026
1458,Wisconsin,1985,2026
1459,Wofford,1996,2026
1460,Wright St,1988,2026
1461,Wyoming,1985,2026
1462,Xavier,1985,2026
1463,Yale,1985,2026
1464,Youngstown St,1985,2026
1465,Cal Baptist,2019,2026
1466,North Alabama,2019,2026
1467,Merrimack,2020,2026
1468,Bellarmine,2021,2026
1469,Utah Tech,2021,2026
1470,Tarleton St,2021,2026
1471,UC San Diego,2021,2026
1472,St Thomas MN,2022,2026
1473,Lindenwood,2023,2026
1474,Queens NC,2023,2026
1475,Southern Indiana,2023,2026
1476,Stonehill,2023,2026
1477,East Texas A&M,2023,2026
1478,Le Moyne,2024,2026
1479,Mercyhurst,2025,2026
1480,West Georgia,2025,2026
1481,New Haven,2026,2026
