Season,TeamID,total_games,num_wins,num_losses,win_pct,avg_points_for,avg_points_against,avg_game_margin,std_game_margin,non_home_wins,home_losses,close_wins,close_losses,3FGA_pg,3FGM_pg,3_pct,FTM_pg,FTA_pg,FT_pct,TOV_pg,avg_pace,off_eff,def_eff,pythag_win_pct,luck,Seed,wins_vs_tourney_teams,away_wins_vs_tourney_teams,losses_vs_tourney_teams,losses_vs_non_tourney_teams,games_vs_tourney_teams,final_net,prev_net,net_improvement,final_pom,prev_pom,pom_improvement
2003,1113,29,18,11,0.6206896551724138,75.96551724137932,69.17241379310344,6.793103448275862,16.889864968213065,6.0,3.0,3.0,3.0,12.586206896551724,4.0,0.31780821917808216,17.551724137931036,26.20689655172414,0.6697368421052632,14.0,65.6711356321839,115.33491198105125,103.95224300183202,0.786348237305921,-0.16565858213350715,Z10,4.0,2.0,10.0,1.0,14.0,32.0,30.0,-2.0,32.0,24.0,-8.0
2003,1114,28,16,12,0.5714285714285714,70.03571428571429,70.07142857142857,-0.03571428571428571,12.12577580097497,7.0,2.0,5.0,3.0,18.285714285714285,6.785714285714286,0.37109375,15.535714285714286,22.428571428571427,0.6926751592356689,15.964285714285714,64.02971428571429,106.26715346220399,105.3523155535688,0.4982271294917648,0.07320144193680661,None,1.0,0.0,3.0,9.0,4.0,150.0,174.0,24.0,166.0,166.0,0.0
2003,1115,28,4,24,0.14285714285714285,54.5,74.17857142857143,-19.678571428571427,16.74824846157389,2.0,8.0,2.0,1.0,16.857142857142858,4.75,0.2817796610169491,11.25,17.607142857142858,0.6389452332657201,19.107142857142858,67.9399619047619,79.58693932284447,108.24713562104793,0.013545005073516784,0.12931213778362607,None,1.0,1.0,4.0,20.0,5.0,312.0,319.0,7.0,319.0,325.0,6.0
2003,1116,28,9,19,0.32142857142857145,61.642857142857146,66.53571428571429,-4.892857142857143,15.522654609391042,1.0,8.0,1.0,1.0,19.571428571428573,6.071428571428571,0.31021897810218974,11.928571428571429,19.571428571428573,0.6094890510948905,16.678571428571427,63.71931428571429,97.0240125258802,105.25583550400475,0.256838356833838,0.06459021459473346,None,4.0,0.0,13.0,6.0,17.0,106.0,88.0,-18.0,128.0,120.0,-8.0
2003,1117,26,11,15,0.4230769230769231,71.11538461538461,69.8076923076923,1.3076923076923077,15.466512785740658,4.0,5.0,2.0,3.0,21.346153846153847,7.923076923076923,0.37117117117117115,15.807692307692308,21.423076923076923,0.7378815080789947,13.26923076923077,63.147076923076916,111.48885836339818,111.14255129027151,0.564184523358937,-0.1411076002820139,None,0.0,0.0,3.0,12.0,3.0,224.0,252.0,28.0,161.0,180.0,19.0
2003,1119,25,3,22,0.12,53.68,67.48,-13.8,11.447270417003349,1.0,9.0,2.0,1.0,16.52,5.88,0.3559322033898305,8.6,12.72,0.6761006289308176,17.36,60.003072,89.36269007409764,112.16713628995852,0.0398303982541957,0.08016960174580429,None,0.0,0.0,4.0,18.0,4.0,316.0,315.0,-1.0,323.0,323.0,0.0
2003,1120,30,19,11,0.6333333333333333,70.1,65.56666666666666,4.533333333333333,18.35889127613345,6.0,4.0,2.0,2.0,16.333333333333332,5.633333333333334,0.3448979591836735,13.066666666666666,19.733333333333334,0.6621621621621622,15.9,64.71552,108.02352261630863,101.50594856403653,0.7170667686306883,-0.083733435297355,W10,4.0,1.0,8.0,3.0,12.0,36.0,31.0,-5.0,45.0,45.0,0.0
2003,1122,27,20,7,0.7407407407407407,69.70370370370371,67.70370370370371,2.0,12.58452900868246,9.0,0.0,8.0,1.0,17.185185185185187,6.0,0.3491379310344827,16.59259259259259,24.0,0.691358024691358,15.222222222222221,63.42399999999999,108.26906925890508,104.58241447155996,0.5998777652807438,0.14086297545999693,W13,1.0,1.0,1.0,6.0,2.0,73.0,95.0,22.0,123.0,143.0,20.0
2003,1123,30,13,17,0.43333333333333335,73.3,76.03333333333333,-2.7333333333333334,14.458984135208885,4.0,5.0,1.0,4.0,16.666666666666668,5.366666666666666,0.32199999999999995,16.066666666666666,22.133333333333333,0.7259036144578314,12.833333333333334,66.75875555555555,108.92958556007603,113.60437944652368,0.375366491173063,0.05796684216027037,None,1.0,0.0,8.0,9.0,9.0,137.0,111.0,-26.0,150.0,118.0,-32.0
2003,1124,28,14,14,0.5,69.0,68.39285714285714,0.6071428571428571,18.050206341745564,4.0,6.0,2.0,2.0,26.535714285714285,9.071428571428571,0.34185733512786004,12.714285714285714,17.535714285714285,0.725050916496945,13.285714285714286,64.70552380952381,106.86533230181213,105.29871231304945,0.530695887308853,-0.030695887308852976,None,1.0,1.0,8.0,6.0,9.0,112.0,102.0,-10.0,97.0,110.0,13.0
2003,1125,28,16,12,0.5714285714285714,72.46428571428571,70.71428571428571,1.75,13.616232434645266,9.0,3.0,4.0,3.0,22.25,8.178571428571429,0.36757624398073835,13.285714285714286,18.928571428571427,0.7018867924528303,16.928571428571427,65.78281142857142,109.04294514974956,106.72033789291481,0.5842019073161153,-0.012773335887543924,None,0.0,0.0,5.0,7.0,5.0,143.0,137.0,-6.0,175.0,150.0,-25.0
2003,1126,30,8,22,0.26666666666666666,64.7,72.9,-8.2,14.23938200906205,4.0,7.0,2.0,3.0,15.933333333333334,5.7,0.3577405857740586,12.8,18.466666666666665,0.6931407942238268,15.866666666666667,64.79039999999999,99.64033795390502,110.65297260288318,0.1597828511653152,0.10688381550135145,None,0.0,0.0,4.0,18.0,4.0,311.0,308.0,-3.0,316.0,320.0,4.0
2003,1127,27,14,13,0.5185185185185185,66.55555555555556,66.18518518518519,0.37037037037037035,16.060414062620733,5.0,2.0,2.0,2.0,21.925925925925927,7.666666666666667,0.34966216216216217,10.814814814814815,16.0,0.6759259259259259,15.074074074074074,64.43488395061729,102.7331007409485,102.43818663856409,0.519396004364362,-0.000877485845843462,None,1.0,0.0,2.0,11.0,3.0,212.0,217.0,5.0,209.0,222.0,13.0
2003,1128,26,17,9,0.6538461538461539,67.84615384615384,64.6923076923077,3.1538461538461537,10.672366573727857,7.0,2.0,4.0,0.0,21.653846153846153,7.6923076923076925,0.3552397868561279,16.076923076923077,22.23076923076923,0.7231833910034602,15.653846153846153,61.98350769230769,109.61076561512355,104.6110368995455,0.6597367948388513,-0.005890640992697427,None,1.0,0.0,1.0,8.0,2.0,189.0,205.0,16.0,226.0,220.0,-6.0
2003,1129,28,12,16,0.42857142857142855,65.89285714285714,66.92857142857143,-1.0357142857142858,9.518711433116291,4.0,7.0,5.0,5.0,17.392857142857142,5.178571428571429,0.29774127310061604,14.571428571428571,20.892857142857142,0.6974358974358974,14.392857142857142,64.68289523809524,100.10172092878986,101.61525727653179,0.44597694168485635,-0.017405513113427806,None,1.0,0.0,2.0,14.0,3.0,191.0,179.0,-12.0,184.0,205.0,21.0
2003,1130,29,18,11,0.6206896551724138,79.65517241379311,76.34482758620689,3.310344827586207,14.268613852102252,9.0,5.0,3.0,4.0,17.413793103448278,6.0,0.3445544554455445,17.724137931034484,25.655172413793103,0.6908602150537635,13.344827586206897,66.62223448275861,117.77877076128965,113.36211991699383,0.6434645956717231,-0.022774940499309282,None,2.0,2.0,6.0,5.0,8.0,49.0,49.0,0.0,36.0,47.0,11.0
2003,1131,30,20,10,0.6666666666666666,68.1,63.266666666666666,4.833333333333333,13.35186212564458,11.0,3.0,6.0,2.0,19.333333333333332,6.566666666666666,0.3396551724137931,14.266666666666667,19.2,0.7430555555555556,13.366666666666667,62.47424000000001,107.85310253316766,100.62938291574191,0.7357578120516021,-0.06909114538493544,None,1.0,0.0,5.0,5.0,6.0,121.0,116.0,-5.0,129.0,145.0,16.0
2003,1132,27,11,16,0.4074074074074074,66.48148148148148,70.62962962962963,-4.148148148148148,11.047720407408686,5.0,4.0,4.0,3.0,17.11111111111111,6.2592592592592595,0.36580086580086585,17.77777777777778,24.11111111111111,0.7373271889400922,16.666666666666668,63.89033086419753,103.32868703427977,110.14284891711344,0.3011303749595799,0.10627703244782749,None,0.0,0.0,3.0,13.0,3.0,171.0,163.0,-8.0,181.0,167.0,-14.0
2003,1133,29,11,18,0.3793103448275862,72.3103448275862,72.37931034482759,-0.06896551724137931,12.489805593260117,5.0,7.0,2.0,6.0,17.75862068965517,6.379310344827586,0.35922330097087385,16.482758620689655,23.413793103448278,0.7039764359351988,14.172413793103448,66.50438620689656,107.64401401200095,107.25068648771791,0.4966849863594306,-0.1173746415318444,None,1.0,0.0,6.0,12.0,7.0,192.0,193.0,1.0,155.0,175.0,20.0
2003,1135,28,17,11,0.6071428571428571,73.96428571428571,72.07142857142857,1.8928571428571428,12.490966123317985,10.0,3.0,1.0,2.0,17.75,6.571428571428571,0.3702213279678068,18.607142857142858,25.0,0.7442857142857143,15.678571428571429,66.63558095238095,110.25612668147518,107.11708429781088,0.5891885805328264,0.017954276610030684,None,0.0,0.0,5.0,6.0,5.0,146.0,178.0,32.0,137.0,156.0,19.0
2003,1137,28,13,15,0.4642857142857143,57.67857142857143,59.32142857142857,-1.6428571428571428,14.427687384515444,7.0,4.0,3.0,1.0,17.214285714285715,5.821428571428571,0.3381742738589211,13.857142857142858,21.75,0.6371100164203612,15.821428571428571,60.29074285714286,96.37271804233917,98.0260039544519,0.40355828560748874,0.06072742867822556,None,0.0,0.0,5.0,10.0,5.0,236.0,246.0,10.0,225.0,213.0,-12.0
2003,1138,28,5,23,0.17857142857142858,64.82142857142857,72.21428571428571,-7.392857142857143,14.49467706660987,0.0,8.0,0.0,3.0,18.464285714285715,5.392857142857143,0.29206963249516443,12.857142857142858,19.142857142857142,0.6716417910447762,14.5,64.1808,100.24556084510492,113.35576366579154,0.1820822919645103,-0.0035108633930817368,None,0.0,0.0,1.0,22.0,1.0,303.0,303.0,0.0,255.0,233.0,-22.0
2003,1139,29,24,5,0.8275862068965517,68.58620689655173,60.93103448275862,7.655172413793103,10.993025569749669,13.0,0.0,7.0,1.0,21.862068965517242,8.482758620689655,0.38801261829652994,11.96551724137931,16.551724137931036,0.7229166666666665,10.413793103448276,56.796351264367814,118.59423459476137,105.75510852351285,0.8383811302448032,-0.010794923348251495,W12,2.0,1.0,3.0,2.0,5.0,35.0,44.0,9.0,51.0,41.0,-10.0
2003,1140,31,23,8,0.7419354838709677,72.45161290322581,63.67741935483871,8.774193548387096,12.635611930799586,10.0,1.0,1.0,1.0,16.129032258064516,6.193548387096774,0.384,18.193548387096776,24.161290322580644,0.7530040053404541,13.741935483870968,62.35809032258065,116.81096902221428,100.72456009217842,0.857615755552034,-0.1156802716810662,X12,5.0,2.0,6.0,2.0,11.0,19.0,18.0,-1.0,26.0,23.0,-3.0
2003,1141,29,23,6,0.7931034482758621,79.34482758620689,73.24137931034483,6.103448275862069,12.938434664118741,12.0,1.0,6.0,1.0,17.93103448275862,6.827586206896552,0.3807692307692308,19.275862068965516,25.17241379310345,0.7657534246575342,18.24137931034483,68.56518620689656,115.55247227008915,106.76400450509178,0.7527613282134321,0.04034212006242999,Z11,0.0,0.0,0.0,6.0,0.0,44.0,60.0,16.0,50.0,74.0,24.0
2003,1142,29,15,14,0.5172413793103449,67.51724137931035,68.37931034482759,-0.8620689655172413,11.740657732650405,9.0,6.0,6.0,5.0,20.20689655172414,6.413793103448276,0.3174061433447099,13.931034482758621,19.448275862068964,0.7163120567375887,15.827586206896552,65.12301609195403,102.85527632043248,104.09889164272487,0.45599405113870123,0.061247328171643634,None,0.0,0.0,4.0,10.0,4.0,184.0,196.0,12.0,172.0,192.0,20.0
2003,1143,29,21,8,0.7241379310344828,74.48275862068965,69.75862068965517,4.724137931034483,10.481170478608993,8.0,1.0,2.0,2.0,17.03448275862069,6.413793103448276,0.3765182186234818,13.379310344827585,19.517241379310345,0.6855123674911661,14.172413793103448,66.58677701149425,110.70112513509375,103.757099383649,0.7133020804129659,0.010835850621516818,W08,4.0,1.0,5.0,3.0,9.0,33.0,26.0,-7.0,40.0,27.0,-13.0
2003,1144,26,4,22,0.15384615384615385,65.03846153846153,78.23076923076923,-13.192307692307692,13.301299042312287,0.0,8.0,2.0,3.0,17.923076923076923,6.269230769230769,0.3497854077253219,12.846153846153847,18.384615384615383,0.6987447698744771,16.0,64.85103589743589,98.69437349093117,119.56471863034677,0.07116317437340838,0.08268297947274547,None,0.0,0.0,3.0,19.0,3.0,317.0,314.0,-3.0,318.0,315.0,-3.0
2003,1145,28,10,18,0.35714285714285715,70.25,71.14285714285714,-0.8928571428571429,11.216503420388719,4.0,7.0,0.0,5.0,17.25,5.928571428571429,0.34368530020703936,11.535714285714286,16.357142857142858,0.7052401746724891,14.321428571428571,67.34811428571427,104.60630796579714,105.82805409515615,0.4561931062061899,-0.09905024906333276,None,0.0,0.0,5.0,13.0,5.0,247.0,220.0,-27.0,222.0,189.0,-33.0
2003,1147,24,10,14,0.4166666666666667,72.625,77.875,-5.25,17.90542282848039,5.0,1.0,2.0,2.0,13.583333333333334,4.333333333333333,0.31901840490797545,17.541666666666668,22.791666666666668,0.7696526508226691,16.083333333333332,68.108,106.14124191200874,114.87634775476573,0.27470930873496296,0.14195735793170372,None,0.0,0.0,2.0,12.0,2.0,279.0,266.0,-13.0,243.0,243.0,0.0
2003,1148,28,15,13,0.5357142857142857,67.53571428571429,67.10714285714286,0.42857142857142855,13.25957490007173,6.0,4.0,3.0,3.0,14.25,5.357142857142857,0.37593984962406013,13.321428571428571,17.821428571428573,0.7474949899799599,15.464285714285714,61.880914285714276,108.91713877900013,108.93451328134145,0.5221235509419959,0.013590734772289781,None,0.0,0.0,3.0,10.0,3.0,211.0,206.0,-5.0,240.0,258.0,18.0
2003,1149,26,12,14,0.46153846153846156,64.6923076923077,66.0,-1.3076923076923077,11.69736732632022,5.0,4.0,3.0,4.0,13.807692307692308,3.8461538461538463,0.2785515320334262,12.153846153846153,16.307692307692307,0.7452830188679246,14.653846153846153,63.2830358974359,102.17079544667453,102.6864647045075,0.4308526935854427,0.03068576795301886,None,1.0,0.0,2.0,12.0,3.0,223.0,200.0,-23.0,269.0,244.0,-25.0
2003,1150,29,13,16,0.4482758620689655,68.44827586206897,69.89655172413794,-1.4482758620689655,14.96106719155111,2.0,4.0,1.0,5.0,23.93103448275862,7.9655172413793105,0.33285302593659943,12.827586206896552,20.24137931034483,0.6337308347529812,13.724137931034482,64.02295841170324,104.62614002898832,107.00131191907606,0.42769862519841306,0.020577236870552462,None,2.0,0.0,7.0,9.0,9.0,95.0,94.0,-1.0,91.0,76.0,-15.0
2003,1151,28,19,9,0.6785714285714286,79.82142857142857,75.60714285714286,4.214285714285714,12.664227298229628,10.0,3.0,3.0,1.0,20.25,7.464285714285714,0.36860670194003525,17.357142857142858,22.857142857142858,0.759375,16.464285714285715,68.14590476190475,116.8884939480986,110.1953043349996,0.6801574760003786,-0.001586047428949966,None,2.0,0.0,2.0,7.0,4.0,108.0,120.0,12.0,142.0,160.0,18.0
2003,1152,30,3,27,0.1,63.2,74.96666666666667,-11.766666666666667,10.467993546467676,1.0,10.0,1.0,5.0,11.433333333333334,3.8,0.3323615160349854,12.333333333333334,19.966666666666665,0.6176961602671119,17.433333333333334,64.26019555555554,97.61017080282403,116.53621689681867,0.08510035038561072,0.01489964961438929,None,1.0,0.0,6.0,21.0,7.0,314.0,311.0,-3.0,311.0,307.0,-4.0
2003,1153,28,17,11,0.6071428571428571,67.32142857142857,61.5,5.821428571428571,12.889789900284232,5.0,3.0,2.0,2.0,19.5,6.678571428571429,0.3424908424908425,14.857142857142858,21.535714285714285,0.6898839137645109,10.607142857142858,62.02628571428571,108.26514567028345,99.67002516486579,0.7786885341693426,-0.1715456770264855,Z08,3.0,1.0,6.0,5.0,9.0,29.0,22.0,-7.0,35.0,26.0,-9.0
2003,1154,24,4,20,0.16666666666666666,63.083333333333336,71.375,-8.291666666666666,12.343956573517621,1.0,8.0,1.0,2.0,19.666666666666668,6.166666666666667,0.3135593220338983,13.333333333333334,20.083333333333332,0.6639004149377594,16.333333333333332,65.58319999999999,95.81821732348781,109.3781960308325,0.15215982392605074,0.014506842740615922,None,0.0,0.0,3.0,17.0,3.0,300.0,275.0,-25.0,293.0,270.0,-23.0
2003,1155,28,15,13,0.5357142857142857,68.42857142857143,68.10714285714286,0.32142857142857145,15.429687459635753,2.0,4.0,3.0,3.0,13.892857142857142,4.821428571428571,0.34704370179948585,14.678571428571429,22.357142857142858,0.6565495207667732,13.464285714285714,62.946514285714294,109.45047200600766,107.80266290344028,0.5163674472471108,0.019346838467174887,None,1.0,0.0,8.0,5.0,9.0,107.0,75.0,-32.0,103.0,105.0,2.0
2003,1156,30,8,22,0.26666666666666666,65.63333333333334,73.2,-7.566666666666666,12.545074287898373,3.0,8.0,2.0,3.0,15.9,5.9,0.37106918238993714,13.933333333333334,21.133333333333333,0.6593059936908517,17.233333333333334,64.15234844444444,101.51310926881003,112.82014518432835,0.1797939552354668,0.08687271143119987,None,0.0,0.0,8.0,14.0,8.0,268.0,256.0,-12.0,251.0,245.0,-6.0
2003,1157,26,11,15,0.4230769230769231,67.26923076923077,69.88461538461539,-2.6153846153846154,14.725897969425063,5.0,4.0,1.0,4.0,15.961538461538462,5.884615384615385,0.3686746987951807,13.615384615384615,18.576923076923077,0.732919254658385,16.846153846153847,63.82457435897436,105.51928293448464,108.5986245755598,0.3703854762868277,0.05269144679009535,None,2.0,1.0,3.0,12.0,5.0,257.0,226.0,-31.0,257.0,237.0,-20.0
2003,1158,29,22,7,0.7586206896551724,73.34482758620689,68.65517241379311,4.689655172413793,10.13053917711318,12.0,2.0,6.0,1.0,23.20689655172414,9.068965517241379,0.39078751857355126,13.655172413793103,19.93103448275862,0.685121107266436,14.068965517241379,66.26434942528735,109.20123682571344,102.1224211566956,0.7148608007254882,0.04375988892968419,None,1.0,1.0,3.0,4.0,4.0,67.0,69.0,2.0,126.0,112.0,-14.0
2003,1159,26,12,14,0.46153846153846156,65.88461538461539,67.76923076923077,-1.8846153846153846,16.16103319973201,5.0,4.0,2.0,3.0,18.653846153846153,6.576923076923077,0.35257731958762883,10.384615384615385,15.076923076923077,0.6887755102040817,14.307692307692308,63.94338461538461,102.75641178586663,106.1112580770913,0.403161816363783,0.058376645174678554,None,0.0,0.0,3.0,11.0,3.0,250.0,270.0,20.0,231.0,255.0,24.0
2003,1160,31,20,11,0.6451612903225806,75.51612903225806,70.06451612903226,5.451612903225806,14.255363924654805,6.0,1.0,4.0,3.0,15.258064516129032,4.967741935483871,0.32558139534883723,16.161290322580644,23.93548387096774,0.6752021563342319,14.0,67.84282150537634,110.02288421354862,103.57673258103128,0.7392884082794438,-0.09412711795686313,X10,6.0,0.0,4.0,7.0,10.0,46.0,51.0,5.0,28.0,30.0,2.0
2003,1161,30,17,13,0.5666666666666667,74.0,72.66666666666667,1.3333333333333333,14.288301353049476,5.0,4.0,6.0,2.0,11.566666666666666,4.2,0.3631123919308358,17.0,24.266666666666666,0.7005494505494506,16.133333333333333,64.85653333333333,113.08399138730242,112.53625543523415,0.5628941116381646,0.003772555028502045,Z14,2.0,2.0,6.0,7.0,8.0,75.0,100.0,25.0,87.0,119.0,32.0
2003,1162,27,2,25,0.07407407407407407,49.629629629629626,62.074074074074076,-12.444444444444445,9.608381115168205,1.0,9.0,1.0,4.0,16.62962962962963,5.037037037037037,0.3028953229398664,10.74074074074074,16.0,0.6712962962962963,17.074074074074073,57.50866172839505,86.20468945228713,107.19633741877071,0.042605637906553744,0.031468436167520326,None,0.0,0.0,2.0,23.0,2.0,325.0,322.0,-3.0,315.0,321.0,6.0
2003,1163,30,21,9,0.7,80.03333333333333,71.4,8.633333333333333,16.52973751219971,7.0,2.0,1.0,2.0,15.7,6.066666666666666,0.386411889596603,14.9,22.1,0.67420814479638,15.8,69.61692444444445,113.89043007385462,102.4995135091529,0.8303009641744867,-0.13030096417448678,X05,5.0,2.0,3.0,6.0,8.0,28.0,47.0,19.0,23.0,44.0,21.0
2003,1164,28,11,17,0.39285714285714285,58.035714285714285,61.642857142857146,-3.607142857142857,13.140285074408952,6.0,4.0,2.0,3.0,11.285714285714286,4.428571428571429,0.3924050632911392,11.464285714285714,15.678571428571429,0.7312072892938496,14.857142857142858,57.263847619047624,99.61585076289342,108.30383066978962,0.3017968523103161,0.09106029054682674,None,1.0,1.0,5.0,12.0,6.0,246.0,243.0,-3.0,285.0,260.0,-25.0
2003,1165,26,8,18,0.3076923076923077,59.92307692307692,67.88461538461539,-7.961538461538462,12.759553793834307,4.0,7.0,2.0,2.0,18.576923076923077,6.230769230769231,0.33540372670807456,11.0,17.26923076923077,0.6369710467706013,15.461538461538462,61.51425641025641,97.89222030131707,109.5680207568338,0.14991841205004772,0.15777389564226,None,0.0,0.0,4.0,14.0,4.0,292.0,285.0,-7.0,291.0,279.0,-12.0
2003,1166,33,29,4,0.8787878787878788,79.24242424242425,64.33333333333333,14.909090909090908,14.681184900499161,12.0,0.0,4.0,1.0,20.484848484848484,7.96969696969697,0.3890532544378698,13.878787878787879,20.03030303030303,0.6928895612708018,13.363636363636363,65.7491393939394,119.77020078554511,97.80510749510299,0.9478126018727865,-0.0690247230849077,Z06,5.0,3.0,2.0,2.0,7.0,23.0,43.0,20.0,27.0,25.0,-2.0
2003,1168,29,10,19,0.3448275862068966,62.93103448275862,66.65517241379311,-3.7241379310344827,9.730494376369643,4.0,6.0,5.0,5.0,13.758620689655173,4.758620689655173,0.3458646616541354,12.655172413793103,19.517241379310345,0.6484098939929328,13.241379310344827,57.90489011494254,106.29588686835557,112.02357071441823,0.3100831500570606,0.03474443614983597,None,0.0,0.0,3.0,16.0,3.0,271.0,293.0,22.0,229.0,230.0,1.0
2003,1169,28,13,15,0.4642857142857143,69.85714285714286,69.92857142857143,-0.07142857142857142,11.221562698116298,5.0,4.0,4.0,4.0,17.178571428571427,6.071428571428571,0.35343035343035345,15.142857142857142,21.464285714285715,0.7054908485856904,17.107142857142858,64.21270857142858,106.27828928535895,107.58724393256122,0.4964461504941389,-0.032160436208424625,None,1.0,1.0,4.0,11.0,5.0,220.0,237.0,17.0,193.0,197.0,4.0
2003,1170,28,11,17,0.39285714285714285,65.42857142857143,72.89285714285714,-7.464285714285714,15.927250105349868,6.0,6.0,2.0,0.0,18.607142857142858,5.75,0.30902111324376197,13.964285714285714,20.785714285714285,0.6718213058419243,16.357142857142858,66.93051428571428,97.2825551335121,108.05516152243182,0.18202022553643346,0.2108369173207094,None,0.0,0.0,4.0,13.0,4.0,253.0,257.0,4.0,228.0,251.0,23.0
2003,1171,26,7,19,0.2692307692307692,59.23076923076923,64.42307692307692,-5.1923076923076925,11.279727324749922,4.0,9.0,0.0,2.0,22.807692307692307,8.153846153846153,0.357504215851602,10.153846153846153,14.423076923076923,0.704,12.423076923076923,58.02696503496504,100.33581257115408,110.20591901024763,0.23705971081128097,0.03217105841948825,None,0.0,0.0,4.0,15.0,4.0,291.0,297.0,6.0,282.0,290.0,8.0
